time,temperature_2m_mean,relative_humidity_2m_mean,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_7cm_mean,rain_sum
1940-08-15,11.6,91.0,0.47,12.1,0.167,0.0
1940-08-16,13.0,90.0,0.56,13.0,0.163,0.2
1940-08-17,13.6,91.0,0.66,14.1,0.159,0.0
1940-08-18,14.4,87.0,0.91,13.8,0.154,0.0
1940-08-19,14.1,89.0,0.44,13.8,0.149,0.0
1940-08-20,15.3,87.0,0.54,15.4,0.148,0.5
1940-08-21,14.3,92.0,0.48,15.0,0.148,0.0
1940-08-22,14.1,84.0,0.57,14.5,0.146,0.4
1940-08-23,13.2,77.0,0.69,13.7,0.143,0.0
1940-08-24,13.7,79.0,0.81,13.7,0.136,0.0
1940-08-25,13.8,85.0,0.74,14.5,0.129,0.0
1940-08-26,14.0,80.0,0.65,14.6,0.124,0.0
1940-08-27,13.2,84.0,0.59,13.8,0.122,0.6
1940-08-28,13.6,81.0,1.01,14.3,0.121,0.0
1940-08-29,12.2,89.0,0.68,13.6,0.115,0.0
1940-08-30,14.0,85.0,0.74,14.4,0.109,0.0
1940-08-31,14.7,77.0,0.82,14.8,0.105,0.0
1940-09-01,13.5,88.0,0.69,14.3,0.101,0.0
1940-09-02,13.6,81.0,0.64,14.2,0.114,3.9
1940-09-03,11.1,71.0,0.59,13.0,0.132,0.6
1940-09-04,11.1,73.0,0.87,12.6,0.126,0.0
1940-09-05,13.7,76.0,1.13,13.5,0.117,0.0
1940-09-06,14.8,78.0,1.45,14.9,0.109,0.0
1940-09-07,14.2,86.0,0.71,15.0,0.103,0.4
1940-09-08,13.9,61.0,0.85,15.0,0.097,0.0
1940-09-09,13.0,76.0,0.73,13.4,0.092,0.0
1940-09-10,14.0,84.0,0.57,14.0,0.097,2.4
1940-09-11,13.8,82.0,0.45,14.4,0.147,7.5
1940-09-12,14.1,80.0,1.05,14.9,0.148,0.0
1940-09-13,14.1,87.0,0.66,14.9,0.134,0.0
1940-09-14,14.4,85.0,0.7,15.5,0.124,0.1
1940-09-15,12.4,82.0,0.46,13.9,0.168,8.3
1940-09-16,10.6,69.0,0.75,12.7,0.171,0.7
1940-09-17,12.7,62.0,1.25,13.2,0.152,0.0
1940-09-18,14.7,67.0,1.44,14.7,0.135,0.0
1940-09-19,15.3,80.0,1.25,16.0,0.122,0.0
1940-09-20,13.1,84.0,0.85,15.1,0.111,0.0
1940-09-21,14.0,74.0,0.77,15.4,0.103,0.0
1940-09-22,15.0,66.0,1.05,15.6,0.095,0.0
1940-09-23,15.6,73.0,1.19,16.3,0.086,0.0
1940-09-24,11.8,73.0,0.55,13.8,0.129,8.8
1940-09-25,13.0,57.0,1.13,14.1,0.158,0.0
1940-09-26,16.1,70.0,1.88,15.9,0.137,0.0
1940-09-27,16.2,77.0,0.92,16.5,0.121,0.0
1940-09-28,15.9,85.0,0.8,17.4,0.111,0.0
1940-09-29,17.4,83.0,1.12,18.3,0.099,0.0
1940-09-30,15.1,78.0,0.8,17.4,0.09,0.1
1940-10-01,13.1,66.0,0.7,15.3,0.095,1.0
1940-10-02,14.6,68.0,0.89,15.4,0.091,0.7
1940-10-03,14.6,90.0,0.4,14.6,0.17,20.9
1940-10-04,15.5,80.0,0.68,15.9,0.192,1.4
1940-10-05,14.8,72.0,0.89,15.9,0.191,4.9
1940-10-06,14.5,73.0,0.86,15.9,0.167,0.0
1940-10-07,14.1,73.0,0.85,16.2,0.153,0.8
1940-10-08,14.4,74.0,0.99,16.0,0.14,0.0
1940-10-09,17.9,79.0,1.45,17.7,0.125,0.0
1940-10-10,17.2,89.0,0.79,18.3,0.114,0.0
1940-10-11,16.9,87.0,0.71,18.6,0.105,0.0
1940-10-12,17.1,79.0,0.87,18.5,0.096,0.0
1940-10-13,18.5,76.0,0.91,18.2,0.095,2.7
1940-10-14,17.2,85.0,0.47,17.7,0.168,16.7
1940-10-15,15.7,77.0,0.81,17.2,0.194,2.0
1940-10-16,15.6,67.0,0.97,17.2,0.165,0.0
1940-10-17,16.6,68.0,1.37,17.5,0.144,0.0
1940-10-18,16.1,77.0,1.09,17.7,0.128,0.0
1940-10-19,15.1,65.0,0.88,17.3,0.115,0.0
1940-10-20,13.3,58.0,0.92,16.0,0.107,0.4
1940-10-21,16.0,61.0,1.66,17.1,0.097,0.0
1940-10-22,17.6,81.0,1.16,18.8,0.086,0.0
1940-10-23,17.1,79.0,0.87,19.1,0.078,0.0
1940-10-24,17.7,66.0,1.25,19.1,0.071,0.0
1940-10-25,18.9,68.0,2.22,20.2,0.063,0.0
1940-10-26,15.8,82.0,0.77,19.1,0.059,0.0
1940-10-27,17.9,66.0,1.41,19.2,0.056,0.0
1940-10-28,18.4,67.0,1.4,20.0,0.053,0.0
1940-10-29,20.1,62.0,1.87,21.0,0.05,0.0
1940-10-30,17.9,75.0,1.26,20.5,0.048,0.0
1940-10-31,16.8,78.0,0.86,19.5,0.053,1.0
